iter	RMSE
0	0.7359820792
1	0.7189299924
2	0.7033187806
3	0.6907984777
4	0.6762406517
5	0.6621399092
6	0.6508131677
7	0.6387212387
8	0.6260007391
9	0.6135136481
10	0.601566661
11	0.5902046957
12	0.5791117561
13	0.5682400588
14	0.5580508919
15	0.5474234265
16	0.5395872399
17	0.5320814172
18	0.5231483339
19	0.5146488794
20	0.506351206
21	0.4994301339
22	0.491056658
23	0.483840737
24	0.4773095224
25	0.4705977185
26	0.4634034563
27	0.4583313669
28	0.4525346674
29	0.4460982481
30	0.4399441857
31	0.4340626374
32	0.4289094733
33	0.4237398219
34	0.4201498772
35	0.4159171056
36	0.4116590329
37	0.4072944341
38	0.4034947174
39	0.4004062497
40	0.3967768281
41	0.3933991148
42	0.3906382047
43	0.3872898983
44	0.3843247393
45	0.3816026872
46	0.3786099636
47	0.3760087517
48	0.3729047472
49	0.3704548501
50	0.3679832877
51	0.3652661526
52	0.362822385
53	0.3603737811
54	0.3585625803
55	0.3566822474
56	0.354931461
57	0.3526224567
58	0.3504186472
59	0.3487085026
60	0.3471022559
61	0.3454491125
62	0.3440886071
63	0.3427555987
64	0.341446046
65	0.3399948334
66	0.3388126038
67	0.3375483525
68	0.3364136455
69	0.3353583782
70	0.3339204209
71	0.3327999614
72	0.3315062464
73	0.3304991979
74	0.3295304211
75	0.3285015446
76	0.3276076637
77	0.3268653503
78	0.326172716
79	0.3251407768
80	0.3241620051
81	0.3233745632
82	0.322704716
83	0.3222091947
84	0.3212881676
85	0.3206281357
86	0.3198699266
87	0.3195066243
88	0.3191812112
89	0.3185309172
90	0.3180232843
91	0.3173345215
92	0.3167734494
93	0.3162091601
94	0.3158628327
95	0.3155762464
96	0.3151148005
97	0.3145023343
98	0.3141464997
99	0.3137672617
